event_id,event_name,timing_partner_id,archived_date,error_message,data_type,credentials_used
10000,"Girls on the Run - St. Louis: Fall 2014",1,2025-06-12T09:09:08.489012,"Event is archived.",participants,office@b...
10001,RunTruthePinesBackup,8,2025-06-12T09:09:08.809473,"Event is archived.",participants,timemana...
10010,"2014 Bacon & Kegs 5K",1,2025-06-12T09:09:09.120355,"Event is archived.",participants,office@b...
10012,"Battlegrounds Mud Run",1,2025-06-12T09:09:09.439698,"Event is archived.",participants,office@b...
1003,"Chandler Hill Memorial Day 5K-10K",1,2025-06-12T09:09:09.764028,"Event is archived.",participants,office@b...
10031,"No More Excuses 5K Training",1,2025-06-12T09:09:10.092703,"Event is archived.",participants,office@b...
10035,"2014 Red Kettle Run",1,2025-06-12T09:09:10.420409,"Event is archived.",participants,office@b...
10039,"Wounded Warrior Run",8,2025-06-12T09:09:10.738128,"Event is archived.",participants,timemana...
10056,"TEST - SHAKLEE CONVENTION RUN",8,2025-06-12T09:09:11.042236,"Event is archived.",participants,timemana...
10059,SHAKLEE,8,2025-06-12T09:09:11.358884,"Event is archived.",participants,timemana...
10063,"The Hope Run",3,2025-06-12T09:09:11.688215,"Event is archived.",participants,chris@ra...
10065,"rplace 911 test",3,2025-06-12T09:09:12.005076,"Event is archived.",participants,chris@ra...
10067,"Reach the Summit 5K & Relay",1,2025-06-12T09:09:12.323093,"Event is archived.",participants,office@b...
10077,"SLO CANCER CHALLENGE 2014",8,2025-06-12T09:09:12.630032,"Event is archived.",participants,timemana...
10078,"25th Annual Aids Walk & Run",8,2025-06-12T09:09:12.959418,"Event is archived.",participants,timemana...
10082,"1st Annual Culver City Healthy Family 5k Run/Walk",8,2025-06-12T09:09:13.267691,"Event is archived.",participants,timemana...
10094,"Crusher Race - WINTER 2014",1,2025-06-12T09:09:13.597104,"Event is archived.",participants,office@b...
10095,"2014 Dubuque Gran Fondo Climb 1",1,2025-06-12T09:09:13.947549,"Event is archived.",participants,office@b...
10096,"2014 Dubuque Gran Fondo Climb 2",1,2025-06-12T09:09:14.261862,"Event is archived.",participants,office@b...
10097,"2014 Dubuque Gran Fondo Climb 3",1,2025-06-12T09:09:14.581290,"Event is archived.",participants,office@b...
10098,"Dubuque Gran Fondo ALL CLIMBS",1,2025-06-12T09:09:14.893723,"Event is archived.",participants,office@b...
10109,"25th Annual West Point Triathlon",7,2025-06-12T09:09:15.214109,"Event is archived.",participants,justin@s...
10110,"2014 Setting the World on Fire 5K",1,2025-06-12T09:09:15.563935,"Event is archived.",participants,office@b...
10114,"The Great Train Race",10,2025-06-12T09:09:15.893697,"Event is archived.",participants,jimrg156...
10115,"Police Pumpkin Chase",10,2025-06-12T09:09:16.203943,"Event is archived.",participants,jimrg156...
10119,"Ivory Crockett Run for Webster 5K",1,2025-06-12T09:09:16.528209,"Event is archived.",participants,office@b...
10121,"Mardi Gras Run For Your Beads 5K",1,2025-06-12T09:09:16.848893,"Event is archived.",participants,office@b...
10124,"One Run CCS 5K",1,2025-06-12T09:09:17.183344,"Event is archived.",participants,office@b...
10126,"Central - One Run",1,2025-06-12T09:09:17.510702,"Event is archived.",participants,office@b...
10148,"2014 HealthPlus CRIM Festival of Races",1,2025-06-12T09:09:17.837332,"Event is archived.",participants,office@b...
10151,"2015 Run for Ryan House at DC Ranch",3,2025-06-12T09:09:18.152049,"Event is archived.",participants,chris@ra...
10156,"2015 Spay Pride Parade 5K Run/Walk",3,2025-06-12T09:09:18.462288,"Event is archived.",participants,chris@ra...
1017,"Nike She Runs LA 10K",8,2025-06-12T09:09:18.777756,"Event is archived.",participants,timemana...
10170,"2014 NCAA XC Regional Hosted by Bradley University",1,2025-06-12T09:09:19.089824,"Event is archived.",participants,office@b...
10171,"Reindeer Run 5K",1,2025-06-12T09:09:19.426515,"Event is archived.",participants,office@b...
10178,"Bradley University Color Run",1,2025-06-12T09:09:19.805906,"Event is archived.",participants,office@b...
10179,"St Louis College of Pharmacy Founders Day 5K Run",1,2025-06-12T09:09:20.115762,"Event is archived.",participants,office@b...
10189,"Run For Life And Learning 6K",1,2025-06-12T09:09:20.437166,"Event is archived.",participants,office@b...
1019,"Benton Park 5K",1,2025-06-12T09:09:20.756672,"Event is archived.",participants,office@b...
10194,"Bull Run 5K / 1Mi Fun Run",1,2025-06-12T09:09:21.058880,"Event is archived.",participants,office@b...
1020,"Pride 5k Run and Walk 2012",8,2025-06-12T09:09:21.382492,"Event is archived.",participants,timemana...
10208,"barn 2015 test",3,2025-06-12T09:09:21.715260,"Event is archived.",participants,chris@ra...
10209,"ASH Foundation 3-5K Run/Walk",4,2025-06-12T09:09:22.033727,"Event is archived.",participants,zack@run...
1021,"38th Annual University City Memorial Day Run",1,2025-06-12T09:09:22.345738,"Event is archived.",participants,office@b...
10218,"GO! St. Louis Marathon and Family Fitness Weekend",1,2025-06-12T09:09:22.662546,"Event is archived.",participants,office@b...
10224,"HMF FitKids Run at Envisionfest",7,2025-06-12T09:09:22.980141,"Event is archived.",participants,justin@s...
10228,"Fall Scamper",1,2025-06-12T09:09:23.292923,"Event is archived.",participants,office@b...
10236,"Pacers Princeton XC Relays",9,2025-06-12T09:09:23.594246,"Event is archived.",participants,aswansen...
10239,"911 test 2",3,2025-06-12T09:09:23.909923,"Event is archived.",participants,chris@ra...
10254,"Warwick Lions 23rd Annual Labor Day Race",7,2025-06-12T09:09:24.243065,"Event is archived.",participants,justin@s...
10262,"New ASH Run - Hematology",4,2025-06-12T09:09:24.566710,"Event is archived.",participants,zack@run...
10266,"2014 Dead Man's Run 5K",9,2025-06-12T09:09:24.885445,"Event is archived.",participants,aswansen...
10268,"Lehigh Valley Health Network Via Marathon",7,2025-06-12T09:09:25.207902,"Event is archived.",participants,justin@s...
10269,"Lehigh Valley Health Network Via 5K",7,2025-06-12T09:09:25.596935,"Event is archived.",participants,justin@s...
1027,"TEST IMPORT",8,2025-06-12T09:09:25.985003,"Event is archived.",participants,timemana...
10271,"2015 St. Jude Runs",1,2025-06-12T09:09:26.377588,"Event is archived.",participants,office@b...
10275,"RS I",1,2025-06-12T09:09:26.762902,"Event is archived.",participants,office@b...
10276,"Marty Uher XC Invitational",1,2025-06-12T09:09:27.139957,"Event is archived.",participants,office@b...
10305,"2014 Cartersville 10K",4,2025-06-12T09:09:27.564567,"Event is archived.",participants,zack@run...
10306,"911 Heroes Run",3,2025-06-12T09:09:27.939683,"Event is archived.",participants,chris@ra...
10317,"911 final test",3,2025-06-12T09:09:28.321690,"Event is archived.",participants,chris@ra...
10324,"The North Face Endurance Challenge: Wisconsin",1,2025-06-12T09:09:28.688652,"Event is archived.",participants,office@b...
10325,"Cardinals Care 6K",1,2025-06-12T09:09:29.067506,"Event is archived.",participants,office@b...
10328,"Spirit Sprints - presented by Little Flower School",1,2025-06-12T09:09:29.504100,"Event is archived.",participants,office@b...
10344,"Columbus Day Philly 5K",1,2025-06-12T09:09:29.872030,"Event is archived.",participants,office@b...
10357,"Mackinac Island 8 Mile",1,2025-06-12T09:09:30.304430,"Event is archived.",participants,office@b...
10381,"IHCA 5K",1,2025-06-12T09:09:30.706525,"Event is archived.",participants,office@b...
10389,"Movember 5K - 2014",1,2025-06-12T09:09:31.085042,"Event is archived.",participants,office@b...
10392,"2014 Bradley Intercollegiate Championships",1,2025-06-12T09:09:31.481644,"Event is archived.",participants,office@b...
10400,"Diva Peachtree",1,2025-06-12T09:09:31.910347,"Event is archived.",participants,office@b...
10408,"DONT USE",1,2025-06-12T09:09:32.323252,"Event is archived.",participants,office@b...
10410,"2014 Dad's Dash 5K & Walk for ALS",1,2025-06-12T09:09:32.706643,"Event is archived.",participants,office@b...
10412,"Desert Solstice XC Invitational 2014",3,2025-06-12T09:09:33.086843,"Event is archived.",participants,chris@ra...
10415,"Running Wild for Hidden Valley 2015",8,2025-06-12T09:09:33.517501,"Event is archived.",participants,timemana...
1042,"Four on the Fourth",10,2025-06-12T09:09:33.874453,"Event is archived.",participants,jimrg156...
10421,"Big Steps 5K",1,2025-06-12T09:09:34.364992,"Event is archived.",participants,office@b...
10423,"2014 Drumstix Dash 8K",9,2025-06-12T09:09:34.746343,"Event is archived.",participants,aswansen...
10431,"2014 5k Gingerbread Race",1,2025-06-12T09:09:35.136801,"Event is archived.",participants,office@b...
1044,"Hot Chocolate 5K/15K",8,2025-06-12T09:09:35.507733,"Event is archived.",participants,timemana...
10450,"The Bourbon Chase",1,2025-06-12T09:09:35.953441,"Event is archived.",participants,office@b...
10466,"Darien Road Race",10,2025-06-12T09:09:36.329690,"Event is archived.",participants,jimrg156...
10478,"The Rain or Shine Run",8,2025-06-12T09:09:36.715726,"Event is archived.",participants,timemana...
10483,"ZOOMA Women's Race Series: Cape Cod",1,2025-06-12T09:09:37.201581,"Event is archived.",participants,office@b...
1049,"GO! St. Louis All-American 5K and Fun Run",1,2025-06-12T09:09:37.588125,"Event is archived.",participants,office@b...
10490,"2014 Gobble Wobble 5K",1,2025-06-12T09:09:37.995934,"Event is archived.",participants,office@b...
10494,"Hero Hustle 5K",1,2025-06-12T09:09:38.388057,"Event is archived.",participants,office@b...
1050,"GO! St. Louis Halloween 10K, 5K and Fun Run",1,2025-06-12T09:09:38.774109,"Event is archived.",participants,office@b...
10509,"Surfing Madonna Save the Ocean Run",8,2025-06-12T09:09:39.146697,"Event is archived.",participants,timemana...
1051,"Detweiller at Dark",1,2025-06-12T09:09:39.564548,"Event is archived.",participants,office@b...
10511,"SPIRIT OF THE TRIBES 5K",8,2025-06-12T09:09:39.947834,"Event is archived.",participants,timemana...
10513,"Kelly Roggensack Memorial Races",1,2025-06-12T09:09:40.334915,"Event is archived.",participants,office@b...
10520,"21st Annual Little Apple Fun Run",7,2025-06-12T09:09:40.688448,"Event is archived.",participants,justin@s...
10527,"Adeline's Angels",1,2025-06-12T09:09:41.111113,"Event is archived.",participants,office@b...
10535,"Doug Conley Cross Country Invitational",3,2025-06-12T09:09:41.478537,"Event is archived.",participants,chris@ra...
10536,"The North Face Endurance Challenge: Utah",1,2025-06-12T09:09:41.887849,"Event is archived.",participants,office@b...
10538,"The MO-Stache Dash",1,2025-06-12T09:09:42.288269,"Event is archived.",participants,office@b...
10545,"2014 Clarendon Day Run",9,2025-06-12T09:09:42.675931,"Event is archived.",participants,aswansen...
1055,"Leadman Vegas 2013",3,2025-06-12T09:09:43.114602,"Event is archived.",participants,chris@ra...
10569,"2014 Corporate 5K",1,2025-06-12T09:09:43.492545,"Event is archived.",participants,office@b...
10578,"Four Seasons Parkway Run",7,2025-06-12T09:09:43.932242,"Event is archived.",participants,justin@s...
10582,"2014 Laurie Harris Hope & Dreams 5K",7,2025-06-12T09:09:44.297776,"Event is archived.",participants,justin@s...
10584,"San Gabriel Valley Turkey Trot 2014",8,2025-06-12T09:09:44.697783,"Event is archived.",participants,timemana...
10595,"Burgettstown Turkey Trot 2014",1,2025-06-12T09:09:45.105468,"Event is archived.",participants,office@b...
1060,"GO! St. Louis Expo",1,2025-06-12T09:09:45.506057,"Event is archived.",participants,office@b...
10617,"2014 Edgewater 5K",1,2025-06-12T09:09:45.903807,"Event is archived.",participants,office@b...
1062,"La Palma Fitness Run for Fun",8,2025-06-12T09:09:46.267017,"Event is archived.",participants,timemana...
10640,"CMU Donut Dash",1,2025-06-12T09:09:46.665489,"Event is archived.",participants,office@b...
10641,"Purple Stride 5K - 2014",1,2025-06-12T09:09:47.038512,"Event is archived.",participants,office@b...
10645,"I Love Beer 5k 2015",1,2025-06-12T09:09:47.439440,"Event is archived.",participants,office@b...
10647,"The 14th Annual Dove Dash 5K and 10K Run/Walk",8,2025-06-12T09:09:47.825036,"Event is archived.",participants,timemana...
10655,"Fall 5K Trio",4,2025-06-12T09:09:48.200745,"Event is archived.",participants,zack@run...
10666,"Mayor Robertsons 5k Run Walk Around the Rock",8,2025-06-12T09:09:48.582365,"Event is archived.",participants,timemana...
10667,"Crawlin' Crab Half Marathon & 5K",1,2025-06-12T09:09:48.998071,"Event is archived.",participants,office@b...
10698,"Babler Beast",1,2025-06-12T09:09:49.397292,"Event is archived.",participants,office@b...
10699,"Mesa Sprint Triathlon",3,2025-06-12T09:09:49.776513,"Event is archived.",participants,chris@ra...
10700,"2015 Life Time Turkey Day Phoenix",3,2025-06-12T09:09:50.138866,"Event is archived.",participants,chris@ra...
