event_id,race_id,name,details,start_time,end_time,age_calc_base_date,registration_opens,event_type,distance,volunteer,require_dob,require_phone,giveaway,fetched_date,credentials_used,timing_partner_id
881135,146406,"5K Run/Walk",,"7/26/2025 07:30",,,"2/14/2025 08:00",running_race,5K,F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
886574,169365,"Kid's Dash",,"6/22/2025 07:00",,,"12/17/2023 14:42",running_race,,F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
886575,169365,"1 Mile",,"6/22/2025 07:00",,,"12/17/2023 11:36",running_race,"1 Miles",F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
886576,169365,5k,,"6/22/2025 07:00",,,"12/17/2023 14:33",running_race,"3.1 Miles",F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
886577,169365,10k,,"6/22/2025 07:00",,,"12/17/2023 14:33",running_race,"6.2 Miles",F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
886578,169365,"Half Marathon",,"6/22/2025 07:00",,,"12/17/2023 01:00",running_race,"13.1 Miles",F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
886579,169365,"Volunteer and Run","Join us for a dynamic volunteering and racing experience! Arrive 30 minutes before packet pickup to lend a hand, ensuring a smooth start to the event. Afterward, hit the pavement and run any distance of your choice.","6/22/2025 07:00",,,"12/17/2023 14:42",running_race,,F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
886580,169365,"Virtual Run",,"6/22/2025 07:00",,,"12/17/2023 14:42",virtual_race,,F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
887765,164667,"Kids Dash","The kid's dash is a fun, untimed dash for our kiddos ages 10 and under. Registration includes a mini bib, youth-sized shirt, and a specifically crafted medal for our kids' dash event! ","6/29/2025 08:00",,,"11/13/2023 07:00",running_race,50m,F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
887766,164667,"1 Mile","1 Mile registration is untimed and includes a custom bib, designer shirt and an awesome finisher medal!","6/29/2025 08:00",,,"11/13/2023 07:00",running_race,"1 Miles",F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
887767,164667,"4 Mile",,"6/29/2025 08:00",,,"11/13/2023 06:00",running_race,"4 Miles",F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
887768,164667,"8 Mile",,"6/29/2025 08:00",,,"11/13/2023 07:00",running_race,"8 Miles",F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
887769,164667,Virtual,,"6/29/2025 08:00",,,"11/13/2023 07:00",virtual_race,,F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
887770,164667,"Volunteer then Run","Join us for a dynamic volunteering and racing experience! Arrive 30 minutes before packet pickup to lend a hand, ensuring a smooth start to the event. Afterward, hit the pavement and run any distance of your choice.","6/29/2025 08:00",,,"11/13/2023 07:00",running_race,"4 Miles",F,T,T,T-Shirt,"2025-06-03 19:25:26",e1lSV9eY...,4
889646,113717,"STEP UP Run / Stair Climb Challenge","Participate in this 90 Minute chip timed stair climb challenge circling around the interior of the Sacred Heart University Martire Family Arena 

Each Lap contains:
     .40 miles of distance 
     500 Stairs climbed
    
See how many laps you can complete in the 90 minutes!

Participation fee includes a complimentary Event Shirt","8/16/2025 09:30","8/16/2025 11:30",8/16/2025,"8/23/2024 21:26",running_race,,F,T,T,T-Shirt,"2025-06-03 19:25:28",yHvMFx1y...,6
889647,113717,"STEP UP Walk Challenge + 40,000 Step Virtual Challenge","Participate in this 90 Minute stair climb challenge circling around the interior of the Sacred Heart University Martire Family Arena  and completing .40 miles of stairs and a stroll around the exterior of the ice rink  on each lap.  A great wrap up to the upcoming virtual challenge.
Each Lap contains:
     .20 miles of distance
     450 Steps taken
     80 Stairs climbed
     150 Total Stairs

Once the event is done, you can also participate in this one-week virtual step challenge held at your own pace and location.  Walk for veterans and show your Homes for the Brave pride all week long!

See how many laps you can complete in the 90 minutes!

Participation fee includes a complimentary Event Shirt","8/11/2025 09:30","8/15/2025 23:59",8/16/2025,"8/23/2024 07:00",virtual_race,,F,T,T,"Event Shirt","2025-06-03 19:25:28",yHvMFx1y...,6
889648,113717,"40,000 Step UP - VIRTUAL Challenge only","Participate in this 5 day virtual step challenge held at your own pace and location.  Walk for veterans and show your Homes for the Brave pride all week long!

Participation fee includes a complimentary Event Shirt","8/11/2025 09:00","8/15/2025 23:59",8/16/2025,"8/23/2024 07:00",virtual_race,,F,T,T,"Event Shirt","2025-06-03 19:25:28",yHvMFx1y...,6
889719,169763,"5K Run","5K through downtown and residential Clinton
on certified route.","6/7/2025 08:00","6/7/2025 10:00",6/7/2025,"1/22/2025 01:00",running_race,5K,F,T,T,T-Shirt,"2025-06-03 19:25:34",voNeS2VZ...,11
889720,169763,"10K Run","5K Route looped twice
through downtown/residential Clinton","6/7/2025 08:00","6/7/2025 10:00",6/7/2025,"1/22/2025 01:00",running_race,10K,F,T,T,T-Shirt,"2025-06-03 19:25:34",voNeS2VZ...,11
889721,169763,"1 Mile Fun Run","At your own pace!
Casual run, jog, walk.
Enjoy!","6/7/2025 09:00","6/7/2025 10:00",6/7/2025,"1/22/2025 13:01",running_race,"1 Miles",F,T,T,T-Shirt,"2025-06-03 19:25:34",voNeS2VZ...,11
889722,169763,"Ghost Runner","For those who cannot attend, cannot
participate, or would like to show
their support through donation.","6/7/2025 09:00","6/7/2025 10:00",6/7/2025,"1/22/2025 01:00",other,,F,T,T,"","2025-06-03 19:25:34",voNeS2VZ...,11
890950,169933,"Kids Dash",,"12/13/2025 09:00",,,"12/16/2023 07:00",running_race,50m,F,T,T,Sweatshirt,"2025-06-03 19:25:26",e1lSV9eY...,4
890951,169933,"1 Mile","1 mile registration is untimed and includes a custom bib, designer shirt, and an awesome finisher medal!","12/13/2025 09:00",,,"12/16/2023 07:00",running_race,"1 Miles",F,T,T,Sweatshirt,"2025-06-03 19:25:26",e1lSV9eY...,4
