id,race_id,event_id,count_date,registered_count,completed_count,active_count,incomplete_count,registered_male_count,registered_female_count,registered_non_binary_count,registered_unspecified_count,group_count,donations_count,donations_total,credentials_used,timing_partner_id
1,314,915644,"2025-06-03 17:41:12",74,0,74,0,0,0,0,74,0,0,0.00,yHvMFx1y...,6
2,928,962560,"2025-06-03 17:41:12",29,0,29,0,0,0,0,29,0,0,0.00,hNkiyApi...,9
3,1033,920516,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
4,1033,920517,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
5,1033,920518,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
6,1033,920519,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
7,1818,1000588,"2025-06-03 17:41:12",5,0,5,0,0,0,0,5,0,0,0.00,8Rs1dOb7...,7
8,1818,1000589,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,8Rs1dOb7...,7
9,3654,931549,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
10,3654,931550,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
11,3654,931551,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,yHvMFx1y...,6
12,4257,935668,"2025-06-03 17:41:12",70,0,70,0,0,0,0,70,0,0,0.00,EuMWyAqP...,10
13,4257,935669,"2025-06-03 17:41:12",25,0,25,0,0,0,0,25,0,0,0.00,EuMWyAqP...,10
14,4257,935670,"2025-06-03 17:41:12",36,0,36,0,0,0,0,36,0,0,0.00,EuMWyAqP...,10
15,4407,999495,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,e1lSV9eY...,4
16,4407,999496,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,e1lSV9eY...,4
17,5196,971179,"2025-06-03 17:41:12",7,0,7,0,0,0,0,7,0,0,0.00,e1lSV9eY...,4
18,5265,996546,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,e1lSV9eY...,4
19,5265,996547,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,e1lSV9eY...,4
20,5968,1002675,"2025-06-03 17:41:12",0,0,0,0,0,0,0,0,0,0,0.00,EuMWyAqP...,10
21,6020,951612,"2025-06-03 17:41:12",184,0,184,0,0,0,0,184,0,0,0.00,8Rs1dOb7...,7
22,6020,951613,"2025-06-03 17:41:12",39,0,39,0,0,0,0,39,0,0,0.00,8Rs1dOb7...,7
23,6020,951614,"2025-06-03 17:41:12",27,0,27,0,0,0,0,27,0,0,0.00,8Rs1dOb7...,7
24,6020,951615,"2025-06-03 17:41:12",17,0,17,0,0,0,0,17,0,0,0.00,8Rs1dOb7...,7
25,8417,959642,"2025-06-03 17:41:12",138,0,138,0,0,0,0,138,0,0,0.00,8Rs1dOb7...,7
26,8417,959643,"2025-06-03 17:41:12",11,0,11,0,0,0,0,11,0,0,0.00,8Rs1dOb7...,7
27,9674,947586,"2025-06-03 17:41:12",462,0,462,0,0,0,0,462,0,0,0.00,8Rs1dOb7...,7
