race_id,name,last_date,last_end_date,next_date,next_end_date,is_draft_race,is_private_race,is_registration_open,created,last_modified,description,url,external_race_url,external_results_url,fb_page_id,fb_event_id,street,street2,city,state,zipcode,country_code,timezone,logo_url,real_time_notifications_enabled,fetched_date,credentials_used,timing_partner_id
314,"Boys & Girls Club of Milford Ice Cream Run (5K)",08/04/2024,08/04/2024,08/03/2025,08/03/2025,F,F,T,"5/1/2010 00:00","5/13/2025 11:06","<p> </p>
<p>USATF 5K Course</p>",https://runsignup.com/Race/CT/Milford/boysandgirlsclubofmilfordicecream5k,https://boysandgirlsclubofmilford.com/event/walnut-beach-ice-cream-5k-2025/,,,1052028158197990,"Walnut Beach",,Milford,CT,06460,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/uploads/generic/genericImage-websiteLogo-7534-1746815947.9238-0.bOhKVl.png,T,"2025-06-03 19:25:28",yHvMFx1y...,6
928,"Little Sisters of the Poor Nun Run 5K",09/07/2024,09/07/2024,10/18/2025,10/18/2025,F,F,T,"6/17/2011 00:00","2/6/2025 19:03","<h3><b><span style=""color:#236fa1"">You&#39;ve heard of the Flying Nun and Nunsense. But have you ever seen a Nun Run?</span></b></h3>
<h3><span style=""color:#236fa1"">Please help us celebrate by joining us on Saturday, October 18th for our <strong>19th annual Nun Run 5K!</strong></span></h3>
<h3><span style=""color:#236fa1"">It&#39;s the best 5K around so<em> &#39;Make it a Habit&#39;</em> and register now.</span></h3>
<h3> </h3>
<h3><span style=""color:#236fa1""><em>This event is an inclusive 5K walk/run, which provides the opportunity for the Residents at our Home and supporters to cross the finish line together. </em></span></h3>",https://runsignup.com/Race/DE/Newark/NunRun5K,https://www.nunrun5k.org,https://www.nunrun5k.org/race-results/,154431264594854,,"185 Salem Church Road","LSOP Jeanne Jugan Residence",Newark,DE,19713,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/races/race928-logo-0.bCuDQx.png,F,"2025-06-03 19:25:31",hNkiyApi...,9
1033,"2025 Colony Grill 'Hot Oil' 5K",11/10/2024,11/10/2024,11/09/2025,11/09/2025,F,F,F,"8/13/2011 00:00","3/31/2025 10:55","<h2><strong>14th </strong>Colony Grill &#34;Hot Oil&#34; 5K</h2>
<p>Sunday, November 9, 2025</p>
<p>Colony Grill - 1520 Post Road, Fairfield, CT</p>
<p><em><strong>PLEASE BE AWARE IT IS ILLEGAL TO GIVE YOUR BIB OR REGISTRATION TO ANYONE ELSE - INCLUDING FAMILY MEMBERS. DOING SO WILL VOID YOUR WAIVER AND ALL CLAIMS AGAINST THE COLONY GRILL, THE HOT OIL RACE, ITS SPONSORS AND VOLUNTEERS, ET AL! </strong></em></p>
<h4><span style=""color:#000000"">If you are not familiar with our course: <a href=""https://www.gmap-pedometer.com/?r=5689440"" target=""_blank"" rel=""nofollow noopener noreferrer"">https://www.gmap-pedometer.com/?r=5689440</a> </span></h4>
<p> </p>",https://runsignup.com/Race/CT/Fairfield/ColonyGrillHotOil5K,,,235564946253,,"1520 Post Road",,Fairfield,CT,06824,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/uploads/generic/genericImage-websiteLogo-8159-1724347700.2188-0.bMX3u0.png,F,"2025-06-03 19:25:28",yHvMFx1y...,6
1818,"I RUN BEACON 5K RUN/WALK 2025",09/22/2024,09/29/2024,09/21/2025,09/28/2025,F,F,T,"6/25/2012 16:03","5/19/2025 19:02","<h4><span style=""color:#000000"">WE ARE BACK!!!</span></h4>
<h4> </h4>
<h4><span style=""color:#000000"">I Am Beacon is committed to our mission of offering college scholarships to Beacon seniors. With that, we are excited to announce...</span></h4>
<h4> </h4>
<h4><span style=""color:#000000""><strong>14th Annual | I Run Beacon 5K Run/Walk</strong><b> 2025</b></span></h4>
<h4> </h4>
<h4><span style=""color:#000000"">We invite you to join us, this September as we put on the I Run Beacon 5K Run/Walk</span></h4>
<h4> </h4>
<h4><span style=""color:#000000"">Whether you are an avid runner, beginner, or first timer our race is perfect for everyone. </span></h4>
<h4> </h4>
<h4><span style=""color:#000000"">We are back yet again live and also offering a virtual race for those who would like to participate from anywhere!</span></h4>
<h3><br /><b>Race Day Details</b>:</h3>
<h3><span style=""color:#000000""><br />Location:</span></h3>
<h3><b><span style=""color:#000000"">Memorial Park </span></b></h3>
<h4><b><span style=""color:#000000"">2 Cahill Drive, Beacon, NY</span></b></h4>
<p> </p>
<h3><span style=""color:#000000"">Schedule:</span><b><span style=""color:#000000""></span></b></h3>
<h3><b><span style=""color:#000000"">Last Call Registration: 8AM</span></b></h3>
<h3><b><span style=""color:#000000"">Race Time: 9AM</span></b></h3>",https://runsignup.com/Race/NY/Beacon/IRunBeacon5KRunWalk,,,iambeacon,1191831527504067,"2 Robert Cahill Dr",,Beacon,NY,12508,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/races/race1818-logo-0.bIIOkr.png,F,"2025-06-03 19:25:29",8Rs1dOb7...,7
3654,"Running for Water for Africa 5K",09/21/2024,09/21/2024,10/04/2025,10/04/2025,F,F,T,"5/18/2013 12:50","3/31/2025 10:54","<h5><span style=""color:#000000"">We welcome you to the 14th edition of our great event which we continue to hold at the Walnut Beach Pavilion! Because the race is in October, the Fall leaves will have begun to change.  It&#39;s a beautiful time of year to get out and enjoy the crisp air.  And you&#39;ll be helping an amazing cause!</span></h5>
<h5><span style=""color:#000000""></span><span style=""color:#000000"">We&#39;re also bringing back our exciting gift certificate raffle this year that will include many local restaurants.<br /></span><span style=""color:#000000""></span></h5>
<h5><span style=""color:#000000"">Our course is designed for all abilities of runners and walkers. Flat scenic roads except for one minor incline at the beginning that start and finish near the beach.  You’ll be able to run fast, or easy, or walk comfortably at any pace. </span></h5>
<h6><span style=""color:#ba372a""><b>There is plentiful parking available in the Beach parking lot. <br /><br /></b></span></h6>
<h5><span style=""color:rgb( 79 , 70 , 70 )""><strong><span style=""text-decoration:underline"">This Year&#39;s Project:</span><br /></strong>A Kitagwenda secondary school with about 2,000 girls and boys have depended on a very dangerous stream to provide their water needs. The stream has claimed the lives of several students and locals as they stooped to fetch the dirty water. We can help by drilling a new well and constructing a water delivery system.  With your assistance we can change the lives of so many.</span></h5>
<h5><span style=""color:rgb( 79 , 70 , 70 )"">The areas where we drill our wells are very rural. Kids typically walk miles each day to and from the watering hole to fetch water for drinking, bathing and cooking.  Unfortunately, the villagers share the water source with various animals so they have to boil it before using it. With your help, we can make this possible!</span></h5>
<h5><span style=""color:#000000""><strong><br /></strong>As always your contributions are fully tax deductible. We are approved by the Internal Revenue Service as a 501(c)(3) organization.<strong><br /><br /></strong></span></h5>
<h5><strong><span style=""color:#000000""><span style=""text-decoration:underline"">Events:</span></span></strong></h5>
<h5><span style=""color:#000000""><span style=""color:#ff0000""><strong>5K Course (3.1miles) is a </strong><b>computer timed event</b><strong> which you can RUN OR WALK.</strong></span>  </span><span style=""color:#000000""><span style=""text-decoration:underline"">Participants will need to complete the entire 3.1 mile course to be scored in results.</span> This event offers awards to the overall male and female champions as well as age group awards. If you walk this distance, you will be grouped into all finishers and be eligible for awards.<br /></span></h5>
<h5><span style=""color:#000000""><span style=""color:#ff0000""><strong>One mile (approx) WALK ONLY is an untimed event.</strong> </span>Enjoy the scenic beauty of the beaches while walking at any pace from a stroll to a power walk! <u>There are NO Awards for this non-competitive event.</u></span></h5>
<h5><span style=""color:#000000""><span style=""color:#ff0000""><strong>Our kids fun run is  FREE for 12 years of age and under only.</strong></span> A 1/10 mile course will be offered (parents can accompany if needed).<br /><br /></span></h5>
<h5><span style=""color:#000000""><strong><u>Registration  </u></strong><span style=""text-decoration:underline"">(online only)</span><u>:</u><strong><u><br /></u></strong></span></h5>
<h5><span style=""color:#000000""><strong><span style=""color:rgb( 186 , 55 , 42 )"">Apr 15 - Oct 3 </span> <br /></strong></span></h5>
<h5><span style=""color:#000000"">$30 ages 19 &amp; over<br />$20 ages 18 &amp; under</span><strong style=""color:#000000""> <br /><br /></strong><span style=""color:#ff0000""></span><span style=""color:#ff0000""><strong><span style=""color:rgb( 186 , 55 , 42 )"">Oct 4</span> <span style=""color:rgb( 0 , 0 , 0 )"">  </span></strong></span></h5>
<h5><span style=""color:#ff0000""></span><span style=""color:#ff0000""><strong><span style=""color:rgb( 0 , 0 , 0 )"">$35 - ages 19 &amp; over <br />$22 - ages 18 &amp; under </span></strong></span></h5>
<h5><span style=""color:#ff0000""><span style=""color:rgb( 0 , 0 , 0 )"">Sept 20 is the t-shirt size deadline - only ‘if available’ from this date. </span><strong><br />    <br /></strong></span><span style=""color:rgb( 0 , 0 , 0 )""><strong><u>Race D</u></strong></span><span style=""color:#000000""><strong><u><span style=""color:rgb( 0 , 0 , 0 )"">ay Schedule:</span><br /></u></strong></span></h5>
<h5><span style=""color:#000000"">7:30-8:45am  - Pre-reg pickup, shirts &amp; late reg </span></h5>
<h5><span style=""color:#000000"">8:45am -          Free kids run directed by Donna “Kids Queen” Cramond </span></h5>
<h5><span style=""color:#000000"">9:00am -          5K Timed run or walk AND one mile untimed walk, </span></h5>
<h5><span style=""color:#000000"">                                            both start together </span></h5>
<h5><span style=""color:#000000"">Snacks &amp; water, raffle and awards to follow.<br /></span></h5>
<h5><span style=""color:#000000""> </span></h5>
<h5><span style=""color:#000000""><span style=""color:#e03e2d""><b>AWARDS</b></span>: 1st M &amp; F,  1st, 2nd, 3rd in age groups 9 &amp; under, 10-15, 16-19, then 10 year brackets through 80&#43;  <br /><br /></span><span style=""color:#000000""></span></h5>
<p><u><b>COVID CONSIDERATIONS</b></u> - This event is being planned and website developed under the CT guidelines that exist as of July 1. Any changes by the state, CDC, or town health department may result in extensive changes in our event.</p>
<p><span style=""color:rgb( 0 , 0 , 0 )""><b>THERE ARE ABSOLUTELY NO REFUNDS IF THIS EVENT SHOULD BE CHANGED TO A VIRTUAL EVENT AS DIRECTED BY ANY AGENCY. THERE ARE NO REFUNDS FOR INJURIES, ETC.  SHIRTS AND SWAG WILL STILL BE AVAILABLE FOR PICKUP FROM OUR CHARITY EVENT IF YOU CANNOT MAKE IT TO OUR EVENT.</b></span></p>
<p><span style=""color:#000000""> </span></p>
<p> </p>",https://runsignup.com/Race/CT/Milford/RunningWaterForAfrica5K,,,ugandafarmersinc,1092908371803200,"Walnut Beach Pavilion","85 Viscount Dr",Milford,CT,06460,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/races/race3654-scaled-logo-0.bMiwGl.png,F,"2025-06-03 19:25:28",yHvMFx1y...,6
4257,"FALL Run The Farm",10/27/2024,10/27/2024,10/19/2025,10/19/2025,F,F,T,"7/9/2013 16:29","6/3/2025 18:45","<p><strong>FALL Run the Farm</strong> is a 5 mile trail race to be held at Muscoot Farm in Katonah/Somers, NY on October 19, 2025. </p>
<p><span style=""text-decoration:underline"">Race start times</span>:<br />-<strong>8:30AM</strong> <a href=""http://runthefarm.org/kids-race/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Kids race #1</a> (Age 7-12)<br />-<b>8:45AM</b> <a href=""http://runthefarm.org/kids-race/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Kids race #2</a> (Age 6 &amp; under) <span style=""color:#e03e2d""><i>Note: Kids Race #1 will be finished before Kids Race #2 gets underway.</i></span><br />-<strong>9:30AM</strong> <a href=""http://runthefarm.org/course-map/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Run The Farm</a></p>
<p><span style=""background-color:#fbeeb8"">Note - kids ages are calculated as of the day of the race Oct 19th. So if your child turns 7 on Oct 19th they will run in Race #1.</span></p>
<p>See Logistics information for <a href=""http://runthefarm.org/kids-race/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Kids Run The Farm</a> and <a href=""http://runthefarm.org/logistics/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Run The Farm</a>.<br /><br />Arrive at least 30 minutes before race start to park, get race bib, pick up shirt (if ordered), and get oriented and warmed up! At the end of the races, participants get &#34;<strong><a href=""http://runthefarm.org/farm-bucks/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Farm Bucks</a></strong>&#34; to spend in the Farmer&#39;s Market.<br /><br />The race is put on to show off the beauty of the Muscoot park and to increase awareness of the weekly <strong><a href=""https://muscootfarm.org/farmers-market/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Muscoot Farmer&#39;s market</a></strong> (Sundays from May-November) and other local farmer&#39;s markets in the area.</p>
<p>T-shirts are optional. We recommend purchasing shirts in advance since we have to order in advance and have run out of certain sizes on race day. </p>
<p>There are <b><a href=""http://runthefarm.org/2012/09/reminder-no-dogs-at-muscoot/"" target=""_blank"" rel=""nofollow noopener noreferrer"">No Dogs ever allowed at Muscoot Farm</a></b>. The farm is has many resident animals that are spooked by dogs of all sizes. This means dogs cannot run in the race.</p>
<p><b>Service dogs</b> who are trained to perform a task are permitted by the ADA. Comfort dogs or emotional support dogs are not covered by the ADA and are not permitted at Muscoot Farm. </p>
<p><a href=""http://runthefarm.org"" target=""_blank"" rel=""nofollow noopener noreferrer"">Run The Farm</a> and <a href=""http://runthefarm.org/kids-race"" target=""_blank"" rel=""nofollow noopener noreferrer"">Kids Run The Farm</a> is put on by <i>Run the Farm Races</i> and is sanctioned by USA Track and Field. </p>
<p>See you at the Farm!</p>
<p>--</p>
<p> </p>",https://runsignup.com/Race/NY/Katonah/RunTheFarm,http://runthefarm.org,http://runthefarm.org/results,leathermansloop,,"51 Route 100",,Katonah,NY,10536,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/uploads/generic/genericImage-websiteLogo-11138-1718826778.2997-0.bMCZCA.png,T,"2025-06-03 19:25:32",EuMWyAqP...,10
4407,"NORTH HALL LIONS CLUB CUPCAKE CHALLENGE 5K",09/21/2024,09/21/2024,09/20/2025,09/20/2025,F,F,T,"7/20/2013 19:16","5/7/2025 16:02","<h2><span style=""font-style:italic;font-weight:bold"">Come join us for a great run on a safe, flat course. This is the only race which offers runners a delicious cupcake upon completion! </span><span style=""font-style:italic;font-weight:bold"">Then stay with us in the shadow of Wauka Mountain for the Clermont Days Festival.</span></h2>
<h3> </h3>
<h3>Race Day Registration and Packet Pick-Up begin at 6:30 AM in Strickland Funeral Home&#39;s parking lot on Hwy. 254/Main St.</h3>
<p> </p>
<p><span style=""text-decoration:underline""><strong>5K Awards</strong></span>: </p>
<ul><li>Top Overall Male and Female</li><li>Top Male and Female Masters (40 and over)</li><li>Top Male and Female Grandmasters (50 and over)</li><li>Top 3 Male/Female in the following age groups: 10 and under, 11-14, 15 - 19, 20 - 24, 25 - 29, 30 - 34, 35 - 39, 40 - 44, 45 - 49, 50 - 54, 55 - 59, 60 - 64, 65 - 69, 70 and over.</li></ul>
<p>T-Shirts are only guaranteed to those registered by September 11, 2023. All others will receive shirt while supplies last.</p>",https://runsignup.com/Race/GA/Clermont/clermont5K,https://www.clermontga.com/clermont-days,,,,"Strickland Funeral Home Parking Lot","260 Main Street",Clermont,GA,30527,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/races/race4407-scaled-logo-0.bysUDC.png,F,"2025-06-03 19:25:26",e1lSV9eY...,4
5196,"17th Annual FBC Jefferson Turkey Can Run",11/28/2024,11/28/2024,11/27/2025,11/27/2025,F,F,T,"9/19/2013 10:07","2/25/2025 10:21","<h2>Join us for a special Thanksgiving Day 5k Race through Historic Downtown Jefferson benefiting the FBC Jefferson Food Bank!</h2>
<h2>The Food Bank serves hundreds of Jackson County families in need every year.</h2>
<h2>Qualifying race for the AJC Peachtree Road Race.</h2>
<h2>Course is USA Track and Field Certified Course.  Certification #GA24018WC</h2>
<p><br /><strong>Time:</strong><br />Race starts at 8:00AM. Packet pickup starts at 7:00AM in the Education Building.</p>
<p><strong>Entry Fee:</strong><br />$15.00 plus 15 canned good items! All proceeds go directly to benefit the Food Bank.<br />Late Registration after midnight November 21 and race day registration:  $15.00 and 15 canned good items.<br />Your paid entry <u>by November 21</u> guarantees a long sleeve T-shirt.  Shirts are not guaranteed to late or race day registrants. There will be receptacles at the high school parking lot for the canned food donations brought by runners the day of the race.</p>
<p><u>Suggested canned items</u>:  canned tuna, canned chicken, green beans, corn, peas, jelly, peanut butter, and any non-perishable food items!</p>
<p><strong>Awards:</strong><br />-Top Male &amp; Female, Masters, Grand Masters, and Seniors<br />-Top 3 Male/Female in each age group: 9 &amp; under, 10-14, 15-19, 20-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-64,65-69, 70-74, 75-79, 80 and up. </p>
<p><strong>Sponsorships:</strong><br />We would love to have your family or your business become a sponsor for this very important cause! If you are interested in becoming a sponsor, please use the Donation option in the online registration process, or contact us via email at <a href=""mailto:turkeycanrun&#64;fbcjefferson.org"" target=""_blank"" rel=""nofollow noopener noreferrer"">admin&#64;fbcjefferson.org</a>.</p>
<ul><li>Presenting Sponsor $300&#43; primary logo on all advertising and shirts</li><li>Platinum Level ($200.00 or higher) sponsors can have their name and large logo advertised on T-shirt.  </li><li>Gold Level ($100.00 - $199.00) sponsors can have their name and business logo printed on the back of the T-shirt.</li><li>Silver level ($50.00- $99.00) sponsors have their business or family name listed on the race T-shirt.</li></ul>
<p>Every penny goes to benefit the Food Bank!</p>",https://runsignup.com/Race/GA/Jefferson/FBCJeffersonTurkeyCanRun,http://www.fbcjefferson.org/turkey-can-run,,fbcjefferson,,"First Baptist Church Jefferson","246 Washington St.",Jefferson,GA,30549,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/races/race5196-logo-0.bCEbaX.png,F,"2025-06-03 19:25:26",e1lSV9eY...,4
5265,"11th Annual Loganville Police Department Donut Dash 5K Run/Walk",10/12/2024,10/12/2024,09/27/2025,09/27/2025,F,F,F,"9/26/2013 02:33","5/1/2025 16:13","<p><span style=""text-decoration:underline""><strong>Time</strong></span>:</p>
<p>8:00 AM  -  Packet Pick-Up and Race Day Registration begins</p>
<p>9:00 AM  -  5K Run/Walk START</p>
<p><span style=""text-decoration:underline""><strong>Registration</strong></span>:</p>
<p>5K Run/Walk:  $25.00 until Race Day / $30.00 on Race Day</p>
<p><span style=""text-decoration:underline""><strong>Beneficiary</strong></span>:</p>
<p><span style=""text-decoration:underline""><strong>ALL PROCEEDS</strong></span> to benefit <em><strong>Walton County Special Olympics</strong></em>!</p>
<p><span style=""text-decoration:underline""><strong>T-Shirts</strong></span>:</p>
<p>T-shirts are guaranteed to all pre-registered runners. T-shirts will be available on race day while supplies last.</p>",https://runsignup.com/Race/GA/Loganville/DonutDash,,,,,"Loganville High School","100 Trident Trail",Loganville,GA,30052,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/races/race5265-scaled-logo-0.bysUOe.png,T,"2025-06-03 19:25:26",e1lSV9eY...,4
5968,"Leatherman's Loop",04/27/2025,04/27/2025,04/26/2026,04/26/2026,F,F,F,"11/26/2013 18:29","6/2/2025 02:32","<p> </p>
<hr />
<p><em> </em><em>The Leatherman&#39;s Loop is put on by <span style=""font-weight:bolder"">Leatherman&#39;s Loop Races</span>. </em></p>
<p><em>Other races include <span style=""background-color:#fbeeb8""><a href=""https://runsignup.com/muscootspring"" target=""_blank"" rel=""nofollow noopener noreferrer""><span style=""font-weight:bolder"">SPRING Run the Farm</span> (May 18, 2025)</a></span> • <span style=""background-color:#fbeeb8""><a href=""https://runsignup.com/muscoot"" target=""_blank"" rel=""nofollow noopener noreferrer""><span style=""font-weight:bolder"">Run the Farm</span> (Oct 19, 2025)</a></span> • <span style=""background-color:#fbeeb8""><a href=""https://runsignup.com/ravenrocks"" target=""_blank"" rel=""nofollow noopener noreferrer""><span style=""font-weight:bolder"">Raven Rocks Run</span> (Nov 9, 2025)</a></span>. </em></p>
<hr />
<p> </p>
<p>The <strong><a href=""http://leathermansloop.org/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Leatherman&#39;s Loop</a></strong> is a 10k trail race held in the spring (<b>April 26, 2026</b>). Start time is 9am. <em>(<strong>ARRIVE</strong> at the park <strong>BY 8AM</strong> if you are registered to run!)</em></p>
<p>If you have questions about the race, visit the <strong><a href=""http://leathermansloop.org"" target=""_blank"" rel=""nofollow noopener noreferrer"">Loop website</a></strong> or specifically the <strong><a href=""http://leathermansloop.org/faq"" target=""_blank"" rel=""nofollow noopener noreferrer"">Loop FAQ page</a></strong> at the website.</p>
<p><span style=""background-color:#fbeeb8"">You can follow us on <b>Instagram</b>: <a style=""background-color:#fbeeb8"" href=""https://instagram.com/leathermansloop"" target=""_blank"" rel=""nofollow noopener noreferrer"">https://instagram.com/leathermansloop</a> and <b>Facebook</b>: <a style=""background-color:#fbeeb8"" href=""https://facebook.com/leathermansloop"" target=""_blank"" rel=""nofollow noopener noreferrer"">https://facebook.com/leathermansloop</a></span></p>
<p>Due to the popularity of the event, Loop entry is via Lottery. For more information, visit our <b><a href=""http://leathermansloop.org/frequently-asked-questions/loop-lottery-faq/"" target=""_blank"" rel=""nofollow noopener noreferrer"">Loop Lottery FAQ page here</a></b>.</p>
<p>Please put <a target=""_blank"">leathermansloop&#64;gmail.com</a> and <a target=""_blank"">info&#64;runsignup.com</a> in your address book so our emails to you and the confirmation emails from RunSignUp.com do not get tagged as spam. </p>
<p>Thanks!</p>
<p><em>-Rob, Ciorsdan, and the Leatherman Harriers volunteers</em></p>
<p><em>PS: <b>two additional notes</b>: </em></p>
<p><em>1.) The registration cost of the Leatherman&#39;s Loop incorporates the <a href=""https://parks.westchestergov.com/ward-pound-ridge-reservation/ward-pound-ridge-fees"" target=""_blank"" rel=""nofollow noopener noreferrer"">park&#39;s entry fee</a> into the registration cost -- so the park does not have to collect the $10 fee from each entrant on race morning. Long ago we figured out it was more efficient for us to pay the park that fee directly rather than have hundreds of cars line up at the entrance fumbling for cash at the entrance gate to the Rez on race morning. </em></p>
<p><em>2.) <a href=""https://leathermansloop.org/frequently-asked-questions/#dogs"" target=""_blank"" rel=""nofollow noopener noreferrer""><strong>Dogs</strong> are not permitted to run in the Loop</a>. In 2020 the USATF began a new policy prohibiting dogs from running in races they sanction and insure. The Loop is a USATF sanctioned and insured race. <span style=""text-decoration:underline"">Leashed dogs</span> are welcome at the park anytime. </em></p>",https://runsignup.com/Race/NY/CrossRiver/LeathermansLoop,https://leathermansloop.org,,leathermansloop,,"Reservation Road",,"Cross River",NY,10518,US,America/New_York,https://d368g9lw5ileu7.cloudfront.net/races/race5968-scaled-logo-0.bysUXM.png,T,"2025-06-03 19:25:32",EuMWyAqP...,10
